category,scenario_id,label,active_users,xi_size,avg_base_gch,manager_mult,stadium_mult,fatigue_rate,potion_adoption,potion_price_gch,daily_bet_volume_gch,fee_bps,fee_burn_share,emission_gross_gch,emission_user_gch,emission_architect_gch,potion_burn_gch,fee_treasury_gch,fee_burn_gch,net_pressure_gch,emit_burn_ratio,risk_profile,vault_mode,vault_buyback_gch,notes
scenario,S0,"On-chain today: 1k users, 100 GCH base",1000,11,100,1.0,1.2,0.3,0.5,100,50000,1000,0.4,1122000.0,1009800.0,112200.0,275000.0,3000.0,2000.0,845000.0,0.2469,,,0.0,Default init_parody_player; potion 100 GCH (P0)
scenario,S1,Full collection players.json salaries,528,11,26.411845730027547,1.0,1.2,0.3,0.9,100,100000,1000,0.0,156468.0,140821.2,15646.8,261360.0,5000.0,0.0,-104892.0,1.6704,,,0.0,Max catalog gross 153400 GCH/day if all claim
scenario,S2,Blueprint 100k users hypergrowth,100000,11,136.36363636363637,1.0,1.2,0.3,0.5,100,50000000,1000,0.0,153000000.0,137700000.0,15300000.0,27500000.0,2500000.0,0.0,125500000.0,0.1797,,,0.0,docs/ECONOMIC_BLUEPRINT.md projection
scenario,S3,Casual 10k high fatigue,10000,11,100,1.0,1.2,0.5,0.5,100,500000,1000,0.0,9900000.0,8910000.0,990000.0,2750000.0,25000.0,0.0,7150000.0,0.2778,,,0.0,
scenario,S4,"World Cup peak (-30 stamina/match, 3 matches/day)",10000,11,100,1.0,1.2,0.3,0.6,100,0.0,1000,0.0,11220000.0,10098000.0,1122000.0,72600000.0,0.0,0.0,-61380000.0,6.4706,,,0.0,H4 doc stamina model at tournament peak
hypothesis,H1,Bet fee split fee_bps=500 burn_share=0.0,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,500,0.0,1122000.0,1009800.0,112200.0,0.0,25000.0,0.0,1122000.0,0.0,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=500 burn_share=0.4,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,500,0.4,1122000.0,1009800.0,112200.0,0.0,15000.0,10000.0,1112000.0,0.0089,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=500 burn_share=0.5,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,500,0.5,1122000.0,1009800.0,112200.0,0.0,12500.0,12500.0,1109500.0,0.0111,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=800 burn_share=0.0,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,800,0.0,1122000.0,1009800.0,112200.0,0.0,40000.0,0.0,1122000.0,0.0,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=800 burn_share=0.4,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,800,0.4,1122000.0,1009800.0,112200.0,0.0,24000.0,16000.0,1106000.0,0.0143,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=800 burn_share=0.5,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,800,0.5,1122000.0,1009800.0,112200.0,0.0,20000.0,20000.0,1102000.0,0.0178,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1000 burn_share=0.0,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1000,0.0,1122000.0,1009800.0,112200.0,0.0,50000.0,0.0,1122000.0,0.0,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1000 burn_share=0.4,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1000,0.4,1122000.0,1009800.0,112200.0,0.0,30000.0,20000.0,1102000.0,0.0178,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1000 burn_share=0.5,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1000,0.5,1122000.0,1009800.0,112200.0,0.0,25000.0,25000.0,1097000.0,0.0223,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1500 burn_share=0.0,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1500,0.0,1122000.0,1009800.0,112200.0,0.0,75000.0,0.0,1122000.0,0.0,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1500 burn_share=0.4,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1500,0.4,1122000.0,1009800.0,112200.0,0.0,45000.0,30000.0,1092000.0,0.0267,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H1,Bet fee split fee_bps=1500 burn_share=0.5,1000,11,100.0,1.0,1.2,0.3,0.0,100.0,1000000,1500,0.5,1122000.0,1009800.0,112200.0,0.0,37500.0,37500.0,1084500.0,0.0334,,,0.0,Fee-only sink; emission baseline S0
hypothesis,H2,Mint gate ratio emit/burn=1.11,0,0,0,1,1,0,0,0,0,0,0,500000,450000.0,50000.0,450000,0,0,50000,0.9,,,0.0,action=mint_allow
hypothesis,H2,Mint gate ratio emit/burn=10.00,0,0,0,1,1,0,0,0,0,0,0,2000000,1800000.0,200000.0,200000,0,0,1800000,0.1,,,0.0,action=mint_pause_48h
hypothesis,H2,Mint gate ratio emit/burn=0.33,0,0,0,1,1,0,0,0,0,0,0,100000,90000.0,10000.0,300000,0,0,-200000,3.0,,,0.0,action=jackpot_subsidy
hypothesis,H3,Dynamic potion target_ratio=0.5,1000,11,100.0,1.0,1.2,0.3,1.0,250.0,0.0,1000,0.0,1122000.0,1009800.0,112200.0,5500000.0,0.0,0.0,-4378000.0,4.902,,,0.0,Equilibrium potion price 250 GCH
hypothesis,H3,Dynamic potion target_ratio=0.8,1000,11,100.0,1.0,1.2,0.3,1.0,400.0,0.0,1000,0.0,1122000.0,1009800.0,112200.0,8800000.0,0.0,0.0,-7678000.0,7.8431,,,0.0,Equilibrium potion price 400 GCH
