issue,title,priority,bucket,pr_number,notes
7,ISSUE-005 - Extend GlobalConfig with split and starters cap,P1,draft_ok,183,
8,ISSUE-006 - Apply fee split in claimBetPayout,P1,draft_ok,184,
9,ISSUE-007 - Apply fee split in claimMarketPayout,P1,draft_ok,185,
10,ISSUE-008 - Expose new config fields in SDK,P1,draft_ok,186,
11,ISSUE-009 - Add idempotent oracle_record_match,P1,draft_ok,187,
12,ISSUE-010 - Integrate oracle_record_match in OracleService,P1,draft_ok,188,
13,ISSUE-011 - Create ManagerDailyClaim PDA,P1,draft_ok,189,
14,ISSUE-012 - Enforce max 11 salary claims per manager/day,P1,draft_ok,190,
15,ISSUE-013 - Update rent_nft with 70/25/5 split,P1,draft_ok,191,
16,ISSUE-014 - Unify economy i18n wording burn vs treasury,P1,draft_ok,192,
17,ISSUE-015 - Add API endpoint for active economy config,P1,draft_ok,193,
18,ISSUE-016 - Document final token supply policy decision,P2,draft_ok,209,
19,ISSUE-017 - Implement mint_gate script using 7d ratio,P2,draft_ok,210,
20,ISSUE-018 - Publish mint pause/resume operational runbook,P2,draft_ok,211,
21,ISSUE-019 - Implement weekly vault buyback/burn crank,P2,draft_ok,212,
22,ISSUE-020 - Add public burn tracker to docs,P2,draft_ok,213,
23,ISSUE-021 - Define official transactional frontend and deprecations,P2,draft_ok,225,
24,ISSUE-022 - Ship economy observability dashboard endpoints,P2,draft_ok,226,
25,ISSUE-023 - Mainnet release hardening and permission audit,P2,draft_ok,227,
41,[OPENCODE] Discord notifications from OA worker,P2,draft_ok,214,
42,[OPENCODE] Dedicated Discord channel for OA research notifications,P1,draft_ok,91,
44,[OPENCODE] Deep research: football economy mechanics comparison,P1,draft_ok,195,
45,[OPENCODE] Deep research: Discord community engagement patterns,P1,draft_ok,194,
46,[OPENCODE] Modify OA worker: research large-context open source coding agents,P1,draft_ok,196,
49,[OPENCODE] Spike: Weekly pending tasks & blockers check,P2,draft_ok,216,
50,[ANTIGRAVITY] Spike: dale un spike a antigravity para validar el flujo hands-free,P1,draft_ok,197,
89,[DRAFT] Implementar x-Scout inicial para GoalChain,P2,draft_ok,228,Draft PR created
90,[DRAFT] Recuperar features perdidas tras migración Vercel,P1,draft_ok,229,Draft PR created
93,[Manager] Enable full Discord channel posting capability,P1,draft_ok,103,
95,[OPENCODE] FCC: OAuth remote runbook (Mac→VPS tunnel),P2,draft_ok,172,
96,[OPENCODE] FCC: Simulation badges on mock webapp surfaces,P2,draft_ok,173,
97,[OPENCODE] FCC: Global API health banner in webapp,P2,draft_ok,174,
99,[OPENCODE] FCC: Harden smoke-devnet.sh API checks,P1,draft_ok,175,
114,[P0][devnet][webapp] QA — Complete Mundial demo runbook on production Play,P0,merged,158,
116,[P1][webapp] UserProfile — label mock data fix balance to chain truth,P1,merged,159,
117,[P1][webapp] Add simulation badges to Estadio non-fixture tabs,P1,merged,160,
118,[P1][docs][api] Point goalchain.fun JS to production API base,P1,draft_ok,199,
119,[P1][webapp][api] Integrate /api/coach/chat in Play via apiBaseUrl,P1,merged,161,
120,[P1][oracle][devnet] Seed participantPlayerIds for oracle_record_match demos,P1,draft_ok,200,
124,[P1][api][economy] Add drift and config_version to /api/economy/config,P1,draft_ok,201,
125,[P1][hermes][ops] Run sync-hermes-active-profile-discord.sh verify #hermes,P1,draft_ok,202,
126,[P1][hermes][docs] Enforce HERMES-MUNDIAL-SCOPE-FREEZE on new intake,P1,draft_ok,203,
127,[P1][grok] Review Mundial MVP EN public copy and prohibited claims,P1,draft_ok,204,
128,[P1][grok][economy] Validate canonical parameters vs marketing docs,P1,draft_needs_work,,Branch exists but no PR
130,[P1][tech-debt] Archive goalchain_backend empty package at root,P1,draft_ok,205,
131,[P1][ci][devnet] GitHub Action run smoke-devnet.sh on webapp PRs,P1,draft_ok,206,
135,[P1][hermes][oracle] Audit VPS env video alerts flags OFF,P1,draft_ok,207,
138,[P2][webapp] JupiterQuoteWidget integrate or remove orphan,P2,draft_ok,176,
139,[P2][webapp] Remove or archive DashboardHub.tsx unrouted,P2,draft_ok,177,
142,[P2][webapp][smart-contracts] Post-Mundial live market bets UI,P2,draft_ok,178,
143,[P2][economy] Post-Mundial Genesis Agents protocol intake brief,P2,draft_ok,218,
144,[P2][oracle][economy] Post-Mundial real vault_crank execute path,P2,draft_ok,219,
145,[P2][ops] Post-Mundial LAUNCH_READINESS_CHECKLIST mainnet gate,P2,draft_ok,220,
146,[P2][webapp] Post-Mundial rent_nft read-only UI in Club,P2,draft_ok,179,
147,[P2][hermes][ops] Tune alpha-watch Mundial pre-match reminders,P2,draft_ok,221,
149,[P2][oracle] Replace @ts-ignore in OracleService typed import,P2,draft_ok,180,
150,[P2][webapp][oracle] LiveEventFeed optional real-time oracle stream,P2,draft_ok,181,
152,[P2][hermes] X-Scout Mundial competitor research cadence,P2,draft_ok,222,
153,[P2][webapp] Classic Hub deprecate route or fix coach API URL,P2,draft_ok,182,
155,[P2][oracle][economy] BuilderFund contributor epoch validation runbook,P2,draft_ok,223,
156,[Epic][P1][mundial-mvp] Mundial 2026 release gate,P1,draft_ok,208,
157,[Epic][P2] Post-Mundial backlog markets genesis vault mainnet,P2,draft_ok,224,
167,[OPENCODE] Test,P0,direct_main_verify,,
168,[OPENCODE] [DRAFT] Completar PR #32 - Consolidation,P0,direct_main_verify,,
169,[OPENCODE] [DRAFT] Completar PR #33 - Video alerts (flags off),P0,direct_main_verify,,
170,[OPENCODE] [DRAFT] Completar PR #34 - Observability / Economy health,P0,direct_main_verify,,
